SALE_CD,REAL_POWER,EQUIP_ID,MOLD_POS,IN_RADIUS,OUT_RADIUS,MFG_DT,CP,AX,MOLD_IN_TOP,MOLD_IN_BOT,MOLD_OUT_TOP,MOLD_OUT_BOT,variable,y
SALES 8,-3.25,EQUIP6,7,-6.4927,7.2134,8/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+1,CORE1 A 05. M0625,CORE1 A 08. B-06,POWER1,-3.25
SALES 6,-1.75,EQUIP8,6,-6.4822,6.9909,9/17/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0450,CORE1 A 08. C-04,POWER1,-1.75
SALES 3,-6,EQUIP2,4,-6.3755,7.443,3/25/2021,,,CORE1 B 02. 0550,CORE1 B 01. P3+1,CORE1 B 02. M1050,CORE1 B 02. C-10,POWER1,-6
SALES 4,-1.5,EQUIP3,5,-7.3408,7.6176,4/9/2021,,,CORE3 C 01. 0660,CORE3 C 01. P2+3,CORE3 C 03. M0250,CORE3 C 03. B-02,POWER1,-1.5
SALES 11,0,EQUIP11,1,-7.3148,7.4117,4/8/2021,,,CORE3 C 01. 0660,CORE3 C 01. P2+0,CORE3 C 03. M0075,CORE3 C 03. D-00,POWER1,0
SALES 5,-2,EQUIP4,2,-6.4834,6.8397,4/16/2021,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0350,CORE1 A 08. C-03,POWER1,-2
SALES 12,-5,EQUIP12,3,-6.4671,6.572,4/19/2021,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M0850,CORE1 B 02. C-08,POWER1,-4.87
SALES 12,-5.5,EQUIP12,6,-6.4685,6.5664,4/19/2021,,,CORE1 B 02. 0550,CORE1 B 01. P2+2,CORE1 B 02. M1000,CORE1 B 02. A-10,POWER1,-5.5
SALES 13,0,EQUIP13,7,-7.3119,7.4189,4/18/2021,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,-0.12
SALES 5,-1.25,EQUIP4,2,-6.4787,6.8465,4/17/2021,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0225,CORE1 A 8A. B-02,POWER1,-1.25
SALES 13,-0.5,EQUIP14,2,-7.3336,7.4613,4/23/2021,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0075,CORE2 C 04. D-00,POWER1,-0.5
SALES 13,-0.75,EQUIP14,5,-7.3328,7.5055,4/23/2021,,,CORE2 C 03. 0660,CORE2 C 03. P1-2,CORE2 C 04. M0100,CORE2 C 04. A-01,POWER1,-0.75
SALES 6,-8,EQUIP5,4,-6.5027,8.306,9/14/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M1550,CORE1 A 08. C-15,POWER1,-8.12
SALES 6,-2.5,EQUIP6,5,-6.4803,8.3115,9/11/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0575,CORE1 A 08. D-05,POWER1,-2.5
SALES 12,-5.5,EQUIP12,4,-6.484,6.5642,4/19/2021,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M0925,CORE1 B 02. B-09,POWER1,-5.5
SALES 13,0,EQUIP13,2,-7.3217,7.4172,4/18/2021,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,-0.12
SALES 5,-4,EQUIP4,8,-6.4829,7.1508,4/17/2021,,,CORE1 A 02. 0570,CORE1 A 01. P1+2,CORE1 A 05. M0650,CORE1 A 08. C-06,POWER1,-4
SALES 13,-0.75,EQUIP14,8,-7.3357,7.4984,4/23/2021,,,CORE2 C 03. 0660,CORE2 C 03. OK-1,CORE2 C 04. M0100,CORE2 C 04. A-01,POWER1,-0.75
SALES 13,0,EQUIP13,7,-7.3166,7.4189,4/21/2021,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,0
SALES 0,0,EQUIP1,5,-6.4875,6.5623,3/23/2021,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0050,CORE1 A 8A. C-00,POWER1,0
SALES 5,-4.75,EQUIP4,3,-6.3407,7.1058,4/18/2021,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M0750,CORE1 B 02. C-07,POWER1,-4.75
SALES 4,-2.5,EQUIP3,8,-7.3208,7.7459,4/9/2021,,,CORE3 C 01. 0660,CORE3 C 01. P1+2,CORE3 C 03. M0325,CORE3 C 03. B-03,POWER1,-2.37
SALES 11,0,EQUIP11,7,-7.3271,7.4118,4/8/2021,,,CORE3 C 01. 0660,CORE3 C 01. OK+2,CORE3 C 03. M0050,CORE3 C 03. C-00,POWER1,0.12
SALES 14,0,EQUIP5,8,-6.4834,6.6197,10/10/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0100,CORE1 A 8A. A-01,POWER1,0
SALES 15,-7.5,EQUIP6,2,-6.4679,8.1489,10/10/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M1450,CORE1 A 08. C-14,POWER1,-7.5
SALES 14,-2,EQUIP5,4,-6.4888,6.9926,10/10/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0475,CORE1 A 08. D-04,POWER1,-2
SALES 14,-1.75,EQUIP7,4,-6.499,6.8366,10/12/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M0325,CORE1 A 8A. B-03,POWER1,-1.75
SALES 14,-2.25,EQUIP7,7,-6.5008,0,10/13/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0400,CORE1 A 08. A-04,POWER1,-2.25
SALES 16,-2,EQUIP7,4,-6.4995,6.8393,10/13/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M0325,CORE1 A 8A. B-03,POWER1,-2
SALES 0,0,EQUIP1,2,-6.5162,6.6128,3/23/2021,,,CORE1 A 02. 0570,CORE1 A 01. OK+4,CORE1 A 05. M0075,CORE1 A 8A. A-01,POWER1,0.12
SALES 1,-7,EQUIP2,5,-6.3718,7.6356,3/23/2021,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M1200,CORE1 B 02. A-12,POWER1,-7
SALES 1,-7.5,EQUIP2,7,-6.3686,7.7645,3/23/2021,,,CORE1 B 02. 0550,CORE1 B 01. P3+1,CORE1 B 02. M1300,CORE1 B 02. A-13,POWER1,-7.75
SALES 2,0,EQUIP1,8,-7.3174,7.3908,3/25/2021,,,CORE2 C 03. 0660,CORE2 C 03. OK+0,CORE2 C 04. M0000,CORE2 C 04. A-00,POWER1,0
SALES 5,-2,EQUIP4,2,-6.4787,6.8465,4/16/2021,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0350,CORE1 A 08. C-03,POWER1,-2
SALES 13,-6.5,EQUIP4,3,-7.3385,8.5419,4/22/2021,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0900,CORE2 C 04. A-09,POWER1,-6.5
SALES 13,-6.5,EQUIP4,2,-7.3312,8.6006,4/22/2021,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0900,CORE2 C 04. A-09,POWER1,-6.5
SALES 5,-1.5,EQUIP4,5,-6.4656,6.9944,4/17/2021,,,CORE1 A 02. 0570,CORE1 A 01. P4+2,CORE1 A 05. M0250,CORE1 A 8A. C-02,POWER1,-1.5
SALES 6,-1.75,EQUIP8,2,-6.4759,6.9458,9/17/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0400,CORE1 A 08. A-04,POWER1,-1.62
SALES 6,-3.25,EQUIP15,5,-7.3378,8.3635,9/18/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0750,CORE1 A 08. C-07,POWER1,-3.25
SALES 6,-3,EQUIP15,7,-7.3384,8.6692,9/18/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0700,CORE1 A 08. A-07,POWER1,-3
SALES 6,-2,EQUIP8,1,-6.4853,6.9534,9/18/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+1,CORE1 A 05. M0425,CORE1 A 08. B-04,POWER1,-2.25
SALES 6,-4.25,EQUIP5,7,-6.4879,7.49,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0925,CORE1 A 08. B-09,POWER1,-4.25
SALES 6,-8.5,EQUIP5,6,-6.48,8.2939,9/14/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M1550,CORE1 A 08. C-15,POWER1,-8.25
SALES 7,-0.5,EQUIP7,4,-7.2255,7.4251,9/14/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1-1,CORE2 C 04. M0025,CORE2 C 04. B-00,POWER1,-0.37
SALES 6,-8.5,EQUIP5,4,-6.4986,8.456,9/14/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M1650,CORE1 A 08. C-16,POWER1,-8.62
SALES 6,5.25,EQUIP15,8,-6.4999,5.9584,9/14/2020,,,CORE1 A 02. 0570,CORE1 A 01. M1+2,CORE1 A 08. P0700,CORE1 A 08. B+07,POWER1,5.25
SALES 6,-1.75,EQUIP8,4,-7.3492,7.4223,9/15/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0375,CORE1 A 08. D-03,POWER1,-1.87
SALES 6,-10,EQUIP5,3,-6.4821,8.7591,9/15/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M1850,CORE1 A 08. C-18,POWER1,-10
SALES 6,-1.75,EQUIP8,4,-6.4816,6.8902,9/17/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0375,CORE1 A 08. D-03,POWER1,-1.62
SALES 9,0,EQUIP15,8,-6.4739,6.6687,9/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0150,CORE1 A 8A. C-01,POWER1,-0.12
SALES 9,-0.5,EQUIP15,7,-6.4544,7.2126,9/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0250,CORE1 A 8A. C-02,POWER1,-0.5
SALES 9,-0.5,EQUIP15,7,-6.4872,6.7508,9/28/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0250,CORE1 A 8A. C-02,POWER1,-0.5
SALES 9,-0.75,EQUIP6,3,-6.4973,6.7798,9/28/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0250,CORE1 A 8A. C-02,POWER1,-0.62
SALES 9,-2.75,EQUIP6,7,-6.4787,7.1092,9/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0600,CORE1 A 08. A-06,POWER1,-2.75
SALES 9,-3,EQUIP15,7,-6.4851,7.2185,9/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0700,CORE1 A 08. A-07,POWER1,-3
SALES 9,-3.5,EQUIP15,2,-6.4739,7.3473,9/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M0800,CORE1 A 08. A-08,POWER1,-3.5
SALES 9,-3.5,EQUIP15,5,-6.4749,7.2908,9/28/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+2,CORE1 A 05. M0750,CORE1 A 08. C-07,POWER1,-3.5
SALES 10,-1,EQUIP10,2,-6.4762,6.7275,8/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0225,CORE1 A 8A. B-02,POWER1,-1
SALES 10,-2,EQUIP10,8,-6.4691,6.9592,8/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0425,CORE1 A 08. B-04,POWER1,-2
SALES 10,-5.5,EQUIP5,6,-6.472,7.7329,9/25/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M1150,CORE1 A 08. C-11,POWER1,-5.5
SALES 10,-5.75,EQUIP5,8,-6.4837,7.8142,9/27/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M1200,CORE1 A 08. A-12,POWER1,-5.75
SALES 10,-6,EQUIP5,6,-6.4931,7.2945,9/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M1250,CORE1 A 08. C-12,POWER1,-6.25
SALES 17,0,EQUIP7,3,-6.4972,6.5625,9/23/2020,,,CORE1 A 02. 0570,CORE1 A 01. P1+2,CORE1 A 05. M0025,CORE1 A 8A. B-00,POWER1,0.12
SALES 18,0,EQUIP5,6,-6.4897,6.6482,8/17/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0125,CORE1 A 8A. B-01,POWER1,0
SALES 19,0,EQUIP16,5,-6.4436,6.5275,2/28/2021,,,CORE1 A 02. 0570,CORE1 A 01. P1+1,CORE1 A 05. M0000,CORE1 A 8A. A-00,POWER1,0
SALES 20,-0.5,EQUIP7,8,-6.4955,6.6384,9/18/2020,,,CORE1 A 02. 0570,CORE1 A 01. P1+2,CORE1 A 05. M0100,CORE1 A 8A. A-01,POWER1,-0.75
SALES 20,-4.5,EQUIP7,7,-6.4853,7.2707,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0750,CORE1 A 08. C-07,POWER1,-4.5
SALES 6,-2,EQUIP8,8,-6.4734,7.0144,9/18/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+2,CORE1 A 05. M0475,CORE1 A 08. D-04,POWER1,-2.25
SALES 6,-2,EQUIP8,2,-6.4846,6.5664,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0475,CORE1 A 08. D-04,POWER1,-2
SALES 6,-2,EQUIP8,5,-6.4984,6.5933,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0525,CORE1 A 08. B-05,POWER1,-2
SALES 6,-3.5,EQUIP6,1,-6.3594,7.6369,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0725,CORE1 A 08. B-07,POWER1,-3.25
SALES 6,-4,EQUIP6,8,-6.4694,7.3713,9/20/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+2,CORE1 A 05. M0825,CORE1 A 08. B-08,POWER1,-4
SALES 6,-4,EQUIP6,8,-6.3553,8.2507,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+2,CORE1 A 05. M0825,CORE1 A 08. B-08,POWER1,-4
SALES 6,-4.25,EQUIP5,6,-6.4744,7.4504,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0900,CORE1 A 08. A-09,POWER1,-4.37
SALES 6,-4.25,EQUIP5,6,-6.4719,7.4553,9/22/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0900,CORE1 A 08. A-09,POWER1,-4.25
SALES 6,-4.25,EQUIP5,2,-6.4759,7.4076,9/22/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0850,CORE1 A 08. C-08,POWER1,-4.37
SALES 6,-4.25,EQUIP15,2,-6.4731,7.456,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M0925,CORE1 A 08. B-09,POWER1,-4.25
SALES 6,-4.5,EQUIP5,2,-6.4834,7.4481,9/20/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0900,CORE1 A 08. A-09,POWER1,-4.5
SALES 6,-7.5,EQUIP8,1,-6.489,8.0683,9/22/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+1,CORE1 A 05. M1400,CORE1 A 08. A-14,POWER1,-7.5
SALES 16,-4,EQUIP6,4,-6.4844,7.4239,10/13/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0875,CORE1 A 08. D-08,POWER1,-4
SALES 14,-9,EQUIP15,8,-6.4785,8.6093,10/14/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M1750,CORE1 A 08. C-17,POWER1,-9.12
SALES 16,-2.75,EQUIP5,7,-6.4777,7.132,10/15/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0600,CORE1 A 08. A-06,POWER1,-2.75
SALES 16,-1,EQUIP7,6,-6.4997,6.7492,10/15/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0200,CORE1 A 8A. A-02,POWER1,-1
SALES 16,0,EQUIP7,2,-6.4845,6.5882,10/17/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+3,CORE1 A 05. M0075,CORE1 A 8A. D-00,POWER1,0
SALES 16,-4.75,EQUIP6,2,-6.4675,7.5707,10/17/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M1000,CORE1 A 08. A-10,POWER1,-4.75
SALES 16,0,EQUIP7,1,-6.49,6.5676,10/18/2020,,,CORE1 A 02. 0570,CORE1 A 01. P1+3,CORE1 A 05. M0025,CORE1 A 8A. B-00,POWER1,0
SALES 21,-1.75,EQUIP17,8,-6.4955,6.9328,8/20/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0400,CORE1 A 08. A-04,POWER1,-1.75
SALES 21,-2.25,EQUIP15,8,-6.493,6.9594,3/24/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0425,CORE1 A 08. B-04,POWER1,-2.25
SALES 22,-4.5,EQUIP7,3,-6.3473,7.0662,2/18/2021,,,CORE1 B 02. 0550,CORE1 B 01. P1+0,CORE1 B 02. M0725,CORE1 B 02. B-07,POWER1,-4.25
SALES 9,-7,EQUIP9,4,-7.3542,7.5853,8/21/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+1,CORE1 A 05. M1400,CORE1 A 08. A-14,POWER1,-7
SALES 9,-8.5,EQUIP9,3,-6.5083,8.3051,7/14/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M1550,CORE1 A 08. C-15,POWER1,-8.5
SALES 23,0,EQUIP18,6,-6.4623,6.496,2/6/2021,,,CORE1 A 02. 0570,CORE1 A 01. OK+1,CORE1 A 05. M0000,CORE1 A 8A. A-00,POWER1,-0.25
SALES 23,-4.25,EQUIP15,1,-6.4886,7.4165,10/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+1,CORE1 A 05. M0875,CORE1 A 08. D-08,POWER1,-4.25
SALES 24,-1,EQUIP7,2,-7.3356,7.5594,7/20/2020,,,CORE2 C 03. 0660,CORE2 C 03. P1+0,CORE2 C 04. M0150,CORE2 C 04. C-01,POWER1,-1
SALES 25,0,EQUIP16,4,-6.4792,6.5439,2/4/2021,,,CORE1 A 02. 0570,CORE1 A 01. OK+1,CORE1 A 05. M0025,CORE1 A 8A. B-00,POWER1,-0.12
SALES 26,0,EQUIP18,8,-6.4754,6.5414,1/28/2021,,,CORE1 A 02. 0570,CORE1 A 01. OK+1,CORE1 A 05. M0025,CORE1 A 8A. B-00,POWER1,0
SALES 27,0,EQUIP18,2,-6.4631,6.5421,2/10/2021,,,CORE1 A 02. 0570,CORE1 A 01. P1+1,CORE1 A 05. M0000,CORE1 A 8A. A-00,POWER1,0
SALES 18,0,EQUIP5,2,-6.479,6.6475,8/22/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0100,CORE1 A 8A. A-01,POWER1,0
SALES 28,0,EQUIP18,3,-6.4741,6.5342,1/30/2021,,,CORE1 A 02. 0570,CORE1 A 01. M1+1,CORE1 A 05. M0025,CORE1 A 8A. B-00,POWER1,0
SALES 19,0,EQUIP19,3,-6.5219,6.5691,8/23/2020,,,CORE1 A 02. 0570,CORE1 A 01. OK+3,CORE1 A 05. M0050,CORE1 A 8A. C-00,POWER1,0
SALES 19,0,EQUIP16,1,-6.4907,6.5564,2/28/2021,,,CORE1 A 02. 0570,CORE1 A 01. M1+0,CORE1 A 05. M0025,CORE1 A 8A. B-00,POWER1,-0.12
SALES 29,0,EQUIP5,7,-6.4798,6.6453,8/22/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0125,CORE1 A 8A. B-01,POWER1,0
SALES 20,-7,EQUIP17,8,-6.4898,7.9871,3/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M1350,CORE1 A 08. C-13,POWER1,-7
SALES 30,-4.25,EQUIP7,2,-6.3501,7.063,8/22/2020,,,CORE1 B 02. 0550,CORE1 B 01. P2+1,CORE1 B 02. M0700,CORE1 B 02. A-07,POWER1,-4.25
SALES 6,-2,EQUIP15,3,-6.4762,6.9157,6/24/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0425,CORE1 A 08. B-04,POWER1,-2
SALES 6,-2.25,EQUIP20,5,-6.486,6.9505,4/1/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+2,CORE1 A 05. M0450,CORE1 A 08. C-04,POWER1,-2.25
SALES 6,-3,EQUIP15,7,-6.4881,7.0747,6/5/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0575,CORE1 A 08. D-05,POWER1,-3
SALES 6,-3.25,EQUIP20,4,-6.4661,7.1025,3/27/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0575,CORE1 A 08. D-05,POWER1,-3.25
SALES 6,-3.25,EQUIP15,4,-6.4741,7.1521,6/26/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0625,CORE1 A 08. B-06,POWER1,-3.37
SALES 6,-3.5,EQUIP15,6,-6.4692,7.1529,3/2/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0600,CORE1 A 08. A-06,POWER1,-3.5
SALES 6,-3.5,EQUIP15,6,-6.4653,7.1426,3/4/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0600,CORE1 A 08. A-06,POWER1,-3.5
SALES 6,-4.5,EQUIP5,8,-6.4829,7.4983,9/20/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0925,CORE1 A 08. B-09,POWER1,-4.5
SALES 6,-2.75,EQUIP8,5,-6.487,7.1158,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P5+2,CORE1 A 05. M0600,CORE1 A 08. A-06,POWER1,-2.75
SALES 6,-3.75,EQUIP6,5,-6.4688,7.2953,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0750,CORE1 A 08. C-07,POWER1,-3.75
SALES 6,-4.25,EQUIP5,7,-6.491,7.5023,9/19/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+2,CORE1 A 05. M0925,CORE1 A 08. B-09,POWER1,-4.25
SALES 6,-3.75,EQUIP8,8,-6.4882,7.3284,9/21/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+1,CORE1 A 05. M0775,CORE1 A 08. D-07,POWER1,-3.75
SALES 21,-3.25,EQUIP15,6,-6.4947,7.2908,9/25/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0750,CORE1 A 08. C-07,POWER1,-3.25
SALES 22,-2.5,EQUIP8,5,-6.4779,6.5686,9/28/2020,,,CORE1 A 02. 0570,CORE1 A 01. P4+2,CORE1 A 05. M0600,CORE1 A 08. A-06,POWER1,-2.5
SALES 22,-2.75,EQUIP8,4,-6.4807,7.1487,9/29/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M0625,CORE1 A 08. B-06,POWER1,-2.75
SALES 22,-6,EQUIP8,6,-6.4755,7.817,10/5/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+2,CORE1 A 05. M1200,CORE1 A 08. A-12,POWER1,-6.12
SALES 9,-2.25,EQUIP6,1,-6.4739,7.0761,9/28/2020,,,CORE1 A 02. 0570,CORE1 A 01. P2+3,CORE1 A 05. M0550,CORE1 A 08. C-05,POWER1,-2.25
SALES 9,-2.75,EQUIP9,7,-6.4933,7.2126,8/21/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+1,CORE1 A 05. M0675,CORE1 A 08. D-06,POWER1,-2.75
SALES 9,-3,EQUIP15,8,-6.47,7.2186,9/28/2020,,,CORE1 A 02. 0570,CORE1 A 01. P3+3,CORE1 A 05. M0700,CORE1 A 08. A-07,POWER1,-3.12
