date,store,item,sales
2013-03-03,1,43,41
2013-03-03,9,23,30
2013-03-03,9,43,55
2013-03-04,6,13,37
2013-03-04,6,25,40
2013-03-04,4,17,15
2013-03-05,4,14,39
2013-03-05,9,38,64
2013-03-05,7,25,37
2013-03-05,5,40,16
2013-03-05,7,11,27
2013-03-05,10,35,54
2013-03-06,4,17,24
2013-03-06,10,49,20
2013-03-06,3,14,48
2013-03-06,4,38,60
2013-03-06,7,27,8
2013-03-06,9,5,13
2013-03-06,10,38,64
2013-03-06,9,43,42
2013-03-07,7,8,35
2013-03-07,2,23,26
2013-03-07,6,47,14
2013-03-07,10,32,34
2013-03-07,10,29,52
2013-03-07,4,46,49
2013-03-07,6,19,28
2013-03-08,5,6,34
2013-03-08,8,32,42
2013-03-08,4,2,45
2013-03-08,1,5,9
2013-03-08,5,13,60
2013-03-09,2,14,71
2013-03-09,6,16,19
2013-03-09,2,8,75
2013-03-09,5,4,12
2013-03-10,6,46,47
2013-03-10,7,48,46
2013-03-10,6,7,44
2013-03-11,5,15,39
2013-03-11,5,21,23
2013-03-11,6,17,19
2013-03-12,1,25,44
2013-03-12,10,20,32
2013-03-12,7,22,42
2013-03-13,1,31,30
2013-03-13,9,49,21
2013-03-13,7,13,39
2013-03-13,3,19,30
2013-03-13,8,26,34
2013-03-13,6,1,10
2013-03-13,4,37,26
2013-03-14,6,25,49
2013-03-14,1,42,24
2013-03-14,4,7,45
2013-03-14,9,18,74
2013-03-14,3,1,22
2013-03-14,9,17,34
2013-03-14,8,32,49
2013-03-15,2,44,30
2013-03-15,4,24,49
2013-03-15,4,19,37
2013-03-15,9,20,36
2013-03-15,3,41,23
2013-03-15,1,5,13
2013-03-15,3,47,18
2013-03-15,3,38,74
2013-03-16,4,15,73
2013-03-16,3,9,53
2013-03-16,6,28,50
2013-03-16,9,47,10
2013-03-17,5,22,52
2013-03-17,1,16,20
2013-03-17,9,47,22
2013-03-17,4,27,25
2013-03-17,8,3,41
2013-03-18,3,27,9
2013-03-18,5,48,21
2013-03-18,4,26,27
2013-03-18,10,23,20
2013-03-18,4,6,32
2013-03-18,8,11,59
2013-03-18,10,33,40
2013-03-18,10,43,37
2013-03-18,10,7,40
2013-03-19,3,26,46
2013-03-19,10,26,33
2013-03-19,2,30,27
2013-03-19,3,14,52
2013-03-19,10,17,36
2013-03-19,9,4,9
2013-03-19,5,21,16
2013-03-19,2,44,28
2013-03-20,6,36,33
2013-03-20,4,43,27
2013-03-20,6,28,49
2013-03-20,6,7,35
2013-03-20,1,26,35
2013-03-20,1,34,15
2013-03-20,6,48,24
2013-03-21,8,34,34
2013-03-22,6,23,12
2013-03-22,10,45,78
2013-03-22,8,25,81
2013-03-22,8,5,29
2013-03-23,2,29,89
2013-03-23,8,17,37
2013-03-23,1,47,19
2013-03-23,1,6,55
2013-03-23,8,16,24
2013-03-23,9,15,70
2013-03-23,5,3,19
2013-03-24,8,47,23
2013-03-24,2,6,60
2013-03-24,5,45,59
2013-03-24,2,31,62
2013-03-24,7,30,17
2013-03-24,10,12,78
2013-03-25,7,38,34
2013-03-25,3,18,59
2013-03-25,1,49,19
2013-03-25,2,25,61
2013-03-25,4,42,21
2013-03-25,5,5,6
2013-03-25,10,43,39
2013-03-25,10,49,23
2013-03-25,10,46,43
2013-03-25,10,47,15
2013-03-26,9,12,55
2013-03-26,6,31,21
2013-03-26,2,36,78
2013-03-26,2,28,92
2013-03-26,5,12,31
2013-03-26,2,42,42
2013-03-26,1,19,23
2013-03-27,1,47,9
2013-03-27,7,23,12
2013-03-27,10,11,52
2013-03-27,2,46,54
2013-03-27,2,42,29
2013-03-27,3,20,44
2013-03-27,8,42,32
2013-03-27,3,40,16
2013-03-27,8,41,17
2013-03-27,2,30,46
2013-03-28,9,36,48
2013-03-28,9,12,48
2013-03-28,3,11,60
2013-03-28,6,8,67
2013-03-28,6,1,15
2013-03-28,4,37,22
2013-03-28,2,38,71
2013-03-29,1,10,68
2013-03-29,5,29,48
2013-03-29,6,48,21
2013-03-29,8,40,27
2013-03-29,10,37,35
2013-03-30,3,20,68
2013-03-30,3,43,58
2013-03-30,2,29,67
2013-03-30,2,3,47
2013-03-30,1,10,56
2013-03-31,1,15,74
2013-03-31,8,31,63
2013-03-31,9,30,38
2013-03-31,1,32,33
2013-03-31,1,19,30
2013-03-31,6,48,36
2013-03-31,10,48,50
2013-03-31,1,46,42
2013-03-31,5,34,20
2013-04-01,4,1,12
2013-04-01,3,50,28
2013-04-01,4,12,41
2013-04-01,7,10,27
2013-04-01,3,49,20
2013-04-01,9,10,45
2013-04-01,6,42,26
2013-04-01,6,25,49
2013-04-02,2,21,44
2013-04-02,3,20,37
2013-04-03,10,38,77
2013-04-03,3,8,64
2013-04-03,10,39,50
2013-04-03,5,8,50
2013-04-03,8,32,46
2013-04-03,7,49,17
2013-04-04,10,50,63
2013-04-04,4,15,81
2013-04-04,5,39,22
2013-04-04,10,36,63
2013-04-04,4,5,15
2013-04-05,2,50,72
2013-04-05,8,23,33
2013-04-05,1,4,24
2013-04-05,1,11,55
2013-04-05,9,36,78
2013-04-05,3,27,18
2013-04-05,5,50,50
2013-04-05,7,1,10
2013-04-05,1,29,54
2013-04-05,3,4,25
2013-04-06,3,24,58
2013-04-06,7,28,65
2013-04-06,5,39,39
2013-04-06,1,35,61
2013-04-06,9,31,65
2013-04-06,8,21,52
2013-04-06,1,43,46
2013-04-06,1,26,49
2013-04-07,2,35,79
2013-04-07,4,34,28
2013-04-08,4,33,40
2013-04-08,4,20,28
2013-04-09,4,41,12
2013-04-09,5,32,36
2013-04-09,4,26,47
2013-04-10,6,28,48
2013-04-10,7,30,22
2013-04-10,8,30,35
2013-04-10,10,44,24
2013-04-11,3,14,66
2013-04-12,2,35,70
2013-04-12,10,22,88
2013-04-12,8,46,76
2013-04-12,2,39,58
2013-04-13,4,7,46
2013-04-13,9,47,17
2013-04-13,9,45,85
2013-04-13,8,50,74
2013-04-13,4,18,89
2013-04-14,3,35,72
2013-04-14,9,41,24
2013-04-14,7,20,38
2013-04-15,5,24,24
2013-04-15,9,12,52
2013-04-15,3,17,26
2013-04-15,2,32,43
2013-04-16,5,50,48
2013-04-16,8,14,58
2013-04-16,7,17,19
2013-04-17,3,1,15
2013-04-17,5,36,44
2013-04-17,5,3,16
2013-04-17,6,44,17
2013-04-17,2,4,11
2013-04-17,10,33,59
2013-04-17,10,8,60
2013-04-18,4,45,70
2013-04-18,10,48,48
2013-04-18,4,39,35
2013-04-18,6,26,34
2013-04-18,5,15,65
2013-04-18,8,39,34
2013-04-18,3,27,21
2013-04-19,8,18,92
2013-04-19,8,31,75
2013-04-19,6,22,44
2013-04-19,4,29,62
2013-04-20,5,23,18
2013-04-20,6,8,77
2013-04-20,3,34,26
2013-04-20,3,20,62
2013-04-20,4,15,95
2013-04-20,7,31,38
2013-04-20,5,26,39
2013-04-20,3,16,26
2013-04-21,1,9,55
2013-04-21,5,21,27
2013-04-21,8,49,40
2013-04-21,2,3,48
2013-04-21,1,24,67
2013-04-21,5,11,59
2013-04-22,1,46,39
2013-04-22,10,1,20
2013-04-22,2,45,68
2013-04-22,2,48,50
2013-04-23,3,21,33
2013-04-23,4,35,57
2013-04-23,10,43,50
2013-04-23,3,17,26
2013-04-23,6,33,36
2013-04-23,5,43,20
2013-04-24,3,49,27
2013-04-24,7,11,39
2013-04-24,3,46,47
2013-04-24,9,23,22
2013-04-24,10,11,67
2013-04-24,5,27,15
2013-04-25,8,37,30
2013-04-25,5,25,51
2013-04-25,7,38,43
2013-04-25,10,32,42
2013-04-25,6,12,40
2013-04-25,1,20,39
2013-04-26,9,10,57
2013-04-26,1,50,62
2013-04-26,5,34,23
2013-04-26,1,45,60
2013-04-26,7,22,59
2013-04-26,10,5,16
2013-04-27,5,23,17
2013-04-27,7,18,61
2013-04-27,6,45,66
2013-04-27,8,18,106
2013-04-27,7,46,30
2013-04-27,1,24,66
2013-04-27,4,47,19
2013-04-28,3,35,77
2013-04-28,4,50,58
2013-04-28,6,16,24
2013-04-29,6,46,35
2013-04-29,9,5,8
2013-04-29,9,7,40
2013-04-29,10,8,69
2013-04-29,6,13,44
2013-04-29,9,46,60
2013-04-29,9,4,7
2013-04-29,7,40,15
2013-04-29,4,34,16
2013-04-30,1,16,12
2013-04-30,1,40,16
2013-04-30,8,18,84
2013-04-30,4,29,44
2013-04-30,5,28,48
2013-04-30,4,37,24
2013-05-01,1,25,68
2013-05-01,4,49,21
2013-05-01,8,40,34
2013-05-01,3,5,10
2013-05-01,7,18,57
2013-05-02,4,25,95
2013-05-02,9,17,30
2013-05-02,2,23,38
2013-05-02,1,37,20
2013-05-03,8,46,76
2013-05-03,3,17,39
2013-05-03,8,19,57
2013-05-03,1,46,46
2013-05-03,7,36,56
2013-05-03,3,28,103
2013-05-04,8,34,36
2013-05-04,2,26,64
2013-05-04,5,49,28
2013-05-04,8,25,115
2013-05-04,4,35,77
2013-05-04,3,32,66
2013-05-04,5,10,48
2013-05-04,9,14,59
2013-05-04,2,3,46
2013-05-04,2,38,100
2013-05-04,7,43,33
2013-05-05,4,13,107
2013-05-05,1,4,27
2013-05-05,7,31,37
2013-05-05,10,6,60
2013-05-05,5,16,24
2013-05-05,3,50,76
2013-05-05,10,39,70
2013-05-05,2,21,57
2013-05-06,3,50,50
2013-05-06,8,35,63
2013-05-06,4,47,15
2013-05-06,3,11,52
2013-05-06,6,50,42
2013-05-06,9,28,75
2013-05-07,2,31,79
2013-05-07,9,48,48
2013-05-07,4,6,67
2013-05-07,7,45,46
2013-05-08,2,39,42
2013-05-08,5,17,35
2013-05-08,4,35,69
2013-05-08,2,47,14
2013-05-09,4,21,44
2013-05-09,3,7,64
2013-05-09,4,47,20
2013-05-10,2,36,109
2013-05-10,7,40,28
2013-05-10,7,7,40
2013-05-10,7,38,57
2013-05-10,10,19,61
2013-05-10,1,32,38
2013-05-10,1,49,22
2013-05-10,10,38,77
2013-05-11,5,21,28
2013-05-11,7,17,21
2013-05-11,9,11,72
2013-05-12,1,28,78
2013-05-12,6,20,51
2013-05-12,2,41,26
2013-05-12,10,17,36
2013-05-12,5,10,61
2013-05-12,10,4,29
2013-05-12,3,30,37
2013-05-13,2,21,33
2013-05-13,3,27,18
2013-05-13,9,39,27
2013-05-13,9,33,67
2013-05-13,1,20,21
2013-05-14,2,37,45
2013-05-14,9,1,18
2013-05-14,9,18,76
2013-05-14,5,25,50
2013-05-14,10,20,54
2013-05-15,10,36,95
2013-05-15,1,38,68
2013-05-15,9,1,17
2013-05-16,9,14,56
2013-05-16,6,17,28
2013-05-16,4,45,72
2013-05-16,7,17,24
2013-05-17,9,14,58
2013-05-17,3,27,20
2013-05-18,7,35,48
2013-05-18,4,1,20
2013-05-18,6,41,20
2013-05-19,5,32,36
2013-05-19,2,29,98
2013-05-19,7,47,16
2013-05-19,6,16,21
2013-05-19,4,17,45
2013-05-19,7,27,11
2013-05-19,1,33,78
2013-05-19,3,6,64
2013-05-20,6,13,50
2013-05-20,10,48,36
2013-05-20,3,36,62
2013-05-20,9,48,35
2013-05-20,8,24,64
2013-05-21,4,26,47
2013-05-21,7,17,18
2013-05-21,6,24,34
2013-05-21,3,33,61
2013-05-21,6,2,32
2013-05-21,8,43,65
2013-05-21,6,46,36
2013-05-22,1,45,64
2013-05-22,4,10,71
2013-05-22,5,21,38
2013-05-22,3,19,43
2013-05-22,4,41,20
2013-05-22,4,12,63
2013-05-23,4,45,89
2013-05-23,7,26,32
2013-05-23,5,16,15
2013-05-23,3,33,72
2013-05-23,4,7,53
2013-05-23,8,7,61
2013-05-23,9,46,56
2013-05-24,4,5,18
2013-05-24,9,47,18
2013-05-24,4,34,22
2013-05-24,9,34,19
2013-05-24,7,13,49
2013-05-24,4,22,93
2013-05-24,2,36,102
2013-05-24,3,8,76
2013-05-25,10,26,48
2013-05-25,6,35,45
2013-05-25,10,47,29
2013-05-25,8,19,51
2013-05-25,5,18,72
2013-05-25,2,1,24
2013-05-25,7,17,23
2013-05-25,1,45,73
2013-05-25,4,12,79
2013-05-25,1,49,25
2013-05-25,10,27,30
2013-05-26,1,12,73
2013-05-26,4,16,25
2013-05-26,2,11,88
2013-05-26,3,12,76
2013-05-27,5,3,17
2013-05-27,8,23,23
2013-05-27,4,35,46
2013-05-27,9,2,34
2013-05-27,3,8,64
2013-05-27,5,50,50
2013-05-27,8,40,32
2013-05-27,1,24,43
2013-05-28,3,27,26
2013-05-28,8,9,66
2013-05-28,9,14,42
2013-05-28,3,39,33
2013-05-28,3,8,74
2013-05-28,10,12,69
2013-05-29,5,2,32
2013-05-29,1,44,34
2013-05-30,8,6,69
2013-05-30,9,32,47
2013-05-30,7,27,5
2013-05-30,9,15,90
2013-05-30,3,15,90
2013-05-30,7,41,16
2013-05-30,4,2,70
2013-05-30,9,29,69
2013-05-30,5,39,27
2013-05-30,7,36,42
2013-05-30,7,23,17
2013-05-31,5,6,36
2013-05-31,4,27,20
2013-05-31,2,7,69
2013-05-31,8,24,86
2013-05-31,5,41,9
2013-06-01,9,37,32
2013-06-01,6,36,58
2013-06-01,5,30,43
2013-06-01,1,31,56
2013-06-01,10,36,119
2013-06-01,9,22,98
2013-06-01,2,24,106
2013-06-01,3,13,130
2013-06-01,5,32,41
2013-06-01,2,43,70
2013-06-01,8,19,39
2013-06-01,3,20,59
2013-06-01,9,29,84
2013-06-01,2,23,50
2013-06-02,1,19,30
2013-06-02,2,48,70
2013-06-02,4,1,28
2013-06-02,3,2,73
2013-06-02,8,20,74
2013-06-02,8,4,27
2013-06-02,6,14,40
2013-06-02,8,19,66
2013-06-03,8,39,43
2013-06-03,5,6,43
2013-06-03,7,3,19
2013-06-03,9,44,21
2013-06-03,3,7,47
2013-06-03,1,39,31
2013-06-03,6,2,41
2013-06-04,1,17,30
2013-06-04,7,23,10
2013-06-04,5,22,63
2013-06-05,4,29,65
2013-06-05,5,21,32
2013-06-05,8,14,51
2013-06-05,10,27,23
2013-06-05,10,30,46
2013-06-06,7,33,63
2013-06-06,6,50,47
2013-06-06,3,20,52
2013-06-06,6,22,65
2013-06-06,5,42,34
2013-06-06,8,35,71
2013-06-07,9,1,24
2013-06-07,10,27,24
2013-06-08,10,18,111
2013-06-08,10,12,83
2013-06-08,3,19,47
2013-06-08,7,50,47
2013-06-08,7,27,12
2013-06-08,7,36,86
2013-06-08,1,13,83
2013-06-09,2,27,33
2013-06-09,7,44,36
2013-06-09,6,39,36
2013-06-09,3,34,40
2013-06-09,4,19,53
2013-06-10,4,23,26
2013-06-10,1,48,27
2013-06-10,8,16,34
2013-06-10,7,11,32
2013-06-10,4,7,53
2013-06-10,7,20,21
2013-06-10,5,30,21
2013-06-10,1,41,17
2013-06-11,2,23,37
2013-06-11,5,36,62
2013-06-11,8,44,39
2013-06-11,4,35,41
2013-06-11,1,47,19
2013-06-11,1,37,24
2013-06-11,6,31,35
2013-06-12,10,29,78
2013-06-12,8,16,38
2013-06-12,4,8,67
2013-06-12,2,30,48
2013-06-12,10,11,79
2013-06-12,1,15,75
2013-06-12,4,50,43
2013-06-13,1,39,25
2013-06-13,3,22,74
2013-06-13,4,6,56
2013-06-13,4,37,20
2013-06-13,7,7,36
2013-06-13,4,3,33
2013-06-14,2,39,70
2013-06-14,3,45,105
2013-06-14,1,27,21
2013-06-15,3,40,42
2013-06-15,5,43,52
2013-06-15,7,37,20
2013-06-15,4,37,38
2013-06-16,2,30,45
2013-06-16,5,22,74
2013-06-16,4,6,76
2013-06-16,7,5,18
2013-06-16,2,36,132
2013-06-17,6,43,31
2013-06-17,1,1,13
2013-06-17,1,45,60
2013-06-17,5,33,52
2013-06-18,1,7,53
2013-06-18,1,3,27
2013-06-18,4,48,46
2013-06-18,5,47,19
2013-06-18,9,45,77
2013-06-19,3,28,72
2013-06-19,6,26,35
2013-06-19,9,3,35
2013-06-19,3,7,63
2013-06-20,10,47,22
2013-06-20,3,34,32
2013-06-20,5,48,48
2013-06-20,4,36,86
2013-06-20,1,38,71
2013-06-20,3,46,67
2013-06-20,10,25,102
2013-06-20,6,26,27
2013-06-21,8,36,90
2013-06-21,3,8,85
2013-06-21,3,19,51
2013-06-21,4,46,57
2013-06-21,1,48,48
2013-06-21,6,34,21
2013-06-21,8,25,84
2013-06-22,10,31,76
2013-06-22,4,38,101
2013-06-22,8,22,96
2013-06-22,7,48,27
2013-06-22,2,11,112
2013-06-22,4,48,79
2013-06-22,2,47,26
2013-06-22,8,3,49
2013-06-22,9,2,66
2013-06-23,3,42,54
2013-06-23,7,47,15
2013-06-23,9,35,77
2013-06-23,6,19,35
2013-06-23,6,23,29
2013-06-24,5,29,38
2013-06-24,8,13,73
2013-06-25,2,11,88
2013-06-25,10,5,17
2013-06-25,2,15,124
2013-06-25,4,37,31
2013-06-25,10,19,33
2013-06-26,8,16,38
2013-06-26,10,21,40
2013-06-26,9,42,41
2013-06-27,7,32,28
2013-06-27,10,32,49
2013-06-27,8,41,17
2013-06-27,2,43,85
2013-06-27,10,19,37
2013-06-27,2,12,87
2013-06-28,4,25,114
2013-06-28,1,49,16
2013-06-28,3,27,25
2013-06-28,6,1,20
2013-06-29,10,11,121
2013-06-29,5,26,45
2013-06-29,7,32,20
2013-06-29,7,3,23
2013-06-29,3,20,54
2013-06-29,1,37,39
2013-06-29,8,2,72
2013-06-30,9,33,93
2013-06-30,6,46,52
2013-06-30,6,5,18
2013-06-30,9,39,47
2013-07-01,3,17,32
2013-07-01,3,7,59
2013-07-01,6,44,21
2013-07-01,10,27,19
2013-07-01,5,2,40
2013-07-01,6,13,41
2013-07-02,3,15,100
2013-07-02,9,26,55
2013-07-02,9,20,39
2013-07-02,5,33,60
2013-07-02,10,38,86
2013-07-02,4,40,26
2013-07-02,9,2,70
2013-07-03,3,8,90
2013-07-03,3,7,71
2013-07-03,7,6,40
2013-07-03,5,11,42
2013-07-03,4,41,20
2013-07-03,6,15,82
2013-07-03,1,44,28
2013-07-03,2,19,43
2013-07-04,7,25,69
2013-07-04,4,45,73
2013-07-04,2,2,85
2013-07-04,1,14,47
2013-07-04,1,10,84
2013-07-04,4,7,68
2013-07-04,1,47,19
2013-07-04,7,16,16
2013-07-04,10,31,79
2013-07-05,4,31,67
2013-07-05,7,44,23
2013-07-05,2,13,108
2013-07-05,4,29,79
2013-07-05,7,8,52
2013-07-05,8,15,116
2013-07-05,7,21,23
2013-07-05,1,13,97
2013-07-05,6,47,21
2013-07-06,7,31,58
2013-07-06,2,13,142
2013-07-07,3,38,126
2013-07-07,10,10,100
2013-07-07,5,35,67
2013-07-07,7,20,44
2013-07-07,8,6,104
2013-07-07,10,25,103
2013-07-07,3,24,86
2013-07-07,1,26,65
2013-07-08,7,13,44
2013-07-08,1,45,66
2013-07-08,10,8,68
2013-07-08,9,26,36
2013-07-08,9,35,51
2013-07-08,8,24,65
2013-07-08,4,29,54
2013-07-09,2,5,23
2013-07-09,6,15,67
2013-07-09,5,31,35
2013-07-09,9,21,40
2013-07-09,7,50,38
2013-07-09,9,3,35
2013-07-09,4,1,25
2013-07-10,7,48,33
2013-07-10,3,50,85
2013-07-10,7,36,52
2013-07-10,9,50,63
2013-07-11,4,11,99
2013-07-11,10,23,28
